Temp,Sat_press,Spec_vol_Sat_liquid,Internal_energy_Sat_liquid,Internal_energy_Evap,Internal_energy_Sat_vapour,Enthalpy_Sat_liquid,Enthalpy_Evap,Enthalpy_Sat_vapour,Entropy_Sat_liquid,Entropy_Evap,Entropy_Sat_vapour 
0.01,0.6117,0.001,0,2374.9,2374.9,0.001,2500.9,2500.9,0,9.1556,9.1556
5,0.8728,0.001,21.019,2360.8,2381.8,21.02,2489.1,2510.1,0.0763,8.9487,9.0249
10,1.2281,0.001,42.02,2346.6,2388.7,42.022,2477.2,2519.2,0.1511,8.7488,8.8999
15,1.7057,0.001001,62.98,2332.5,2395.5,62.982,2465.4,2528.3,0.2245,8.5559,2.7803
20,2.3392,0.001002,83.913,2318.4,2402.3,83.915,2453.5,2537.4,0.2965,8.3696,8.6661
25,3.1698,0.001003,104.83,2304.3,2409.1,104.83,2441.7,2546.5,0.3672,8.1895,2.5567
30,4.2469,0.001004,125.73,2200.2,2415.9,125.78,2429.8,2555.6,0.4368,8.0152,8.452
35,5.6291,0.001006,148.63,2276,2422.7,146.64,2417.9,2564.6,0.5051,7.8466,8.3517
40,7.3851,0.001008,167.53,2261.9,2429.4,167.53,2405,2573.5,0.5724,7.6832,8.2556
45,9.5953,0.00101,188.43,2247.7,2496.1,188.44,2394,2582.4,0.6386,7.5287,8.1633
50,12.362,0.001012,209.33,2283.4,2442.7,209.34,2382,2591.3,0.7038,7.371,8.0748
55,18.763,0.001015,230.24,2219.1,2449.3,230.26,2369.8,2600.1,0.768,7.2218,7.9898
60,19.947,0.001017,251.16,2208.7,2455.9,251.18,2357.7,2608.8,0.8313,7.0769,7.9082
65,25.043,0.00102,272.09,2190.3,2462.4,272.12,2345.4,2617.5,0.8937,6.936,7.8296
70,31.202,0.001023,293.04,2175.8,2468.9,293.07,2333,2626.1,0.9551,6.7989,7.754
75,38.597,0.001026,312.99,2161.3,2475.3,314.03,2320.6,2634.6,1.0158,6.6655,7.6812
80,47.416,0.001029,334.97,2146.6,2481.6,335.02,7308,2643,1.0756,6.5356,7.6111
85,57.868,0.001032,355.96,2131.9,2487.8,356.02,2295.3,2651.4,1.1346,6.4089,7.5435
90,70.183,0.001036,376.97,2117,2494,377.04,2282.5,2659.6,1.1929,6.2853,7.4782
95,84.609,0.00104,398,2102,2500.1,398.09,2269.6,2667.6,1.2504,6.1647,7.4151
100,101.42,0.001043,419.06,2087,2506,419.17,2256.4,2675.6,1.3072,6.047,7.3542
105,120.9,0.001047,440.15,2071.8,2511.9,440.28,2243.1,2683.4,1.3634,5.9319,7.2952
110,143.38,0.001052,461.27,2086.4,2517.7,461.42,2229.7,2691.1,1.4188,5.8193,7.2382
